關卡,名稱,屬性1,屬性2,HP,特性名稱,特性說明,招式1名稱,招式1威力,招式1消耗,招式1屬性,招式1異常,招式1機率,招式1特殊效果,招式2名稱,招式2威力,招式2消耗,招式2屬性,招式2異常,招式2機率,招式2特殊效果,招式3名稱,招式3威力,招式3消耗,招式3屬性,招式3異常,招式3機率,招式3特殊效果,招式4名稱,招式4威力,招式4消耗,招式4屬性,招式4異常,招式4機率,招式4特殊效果
第2關(中),晶光花,岩石,毒,260,毒素碎片,受到攻擊後 20% 機率讓攻擊者中毒,岩石滑落,20,1,岩石,,,Mega能量×2；下回合+5能量,毒液,59,7,毒,,,Mega能量×2；下回合+5能量,冥想,輔助,3,岩石,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,污泥炸彈,97,12,毒,結凍,15%,
第2關(中),寶石海星,水,超能,270,神秘之守,25% 機率將受到的傷害減半,水槍,40,5,水,,,Mega能量×2；下回合+8能量,念力,74,10,超能,,,Mega能量×2；下回合+8能量,集氣,輔助,3,水,,,輔助技能：下回合額外能量+9能量（另外+5能量）,精神強擊,120,15,超能,,,回血15%
第2關(中),大竺葵,草,,270,茂盛,HP 低於 1/3 時，本系招式傷害 ×1.5,詭計,輔助,3,草,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,大地之力,73,10,地,,,Mega能量×2；下回合+8能量,花瓣風暴,72,9,草,,,Mega能量×2；下回合+7能量,葉刃,115,15,草,麻痺,20%,
第2關(中),赫拉克羅斯,蟲,格鬥,270,毅力,自身帶有異常狀態時，攻擊傷害 ×1.3,電磁波,輔助,1,蟲,麻痺,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,地震,68,10,地,,,Mega能量×2；下回合+8能量,聖甲蟲衝擊,72,9,蟲,,,Mega能量×2；下回合+7能量,近身戰,113,14,格鬥,睡眠,20%,
第2關(中),盔甲鳥,鋼,飛行,270,頑強,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,啄,39,5,飛行,,,Mega能量×2；下回合+8能量,鐵頭,75,10,鋼,,,Mega能量×2；下回合+8能量,猛禽炸彈,75,10,飛行,,,Mega能量×2；下回合+8能量,詭計,輔助,3,鋼,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）
第2關(中),七夕青鳥,龍,飛行,270,自然回復,25% 機率將受到的傷害減半,啄,36,4,飛行,,,Mega能量×2；下回合+7能量,龍之氣息,71,10,龍,,,Mega能量×2；下回合+8能量,空氣斬,74,9,飛行,,,Mega能量×2；下回合+7能量,詭計,輔助,3,龍,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）
第2關(中),羅絲雷朵,草,毒,270,毒刺,受到攻擊後 20% 機率讓攻擊者中毒,劍舞,輔助,4,草,,,輔助技能：下次攻擊威力×1.5（另外+5能量）,魔法葉,69,9,草,,,Mega能量×2；下回合+7能量,花瓣舞,69,9,草,,,Mega能量×2；下回合+7能量,污泥炸彈,111,14,毒,燒傷,25%,
第2關(中),流氓鱷,地,惡,270,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,岩石滑落,39,4,岩石,麻痺,15%,Mega能量×2；下回合+7能量,集氣,輔助,3,地,,,輔助技能：下回合額外能量+9能量（另外+5能量）,地震,72,9,地,,,Mega能量×2；下回合+7能量,夜斬,117,14,惡,,,回血24%
第2關(中),麻麻鰻魚王,電,,270,飄浮,受到電屬性攻擊時完全免疫，並回復 3 點能量,咬碎,39,4,惡,,,Mega能量×2；下回合+7能量,電擊,75,10,電,,,Mega能量×2；下回合+8能量,十萬伏特,71,10,電,,,Mega能量×2；下回合+8能量,冰凍吐息,輔助,1,電,結凍,100%,輔助技能：使對方陷入異常狀態（另外+5能量）
第2關(中),火炎獅,火,一般,270,緊張感,上場時讓對方損失 3 點能量,拍打,40,5,一般,,,Mega能量×2；下回合+8能量,撐住,輔助,5,火,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,大字爆炎,75,10,火,,,Mega能量×2；下回合+8能量,高周波音,120,15,一般,,,回血24%
第2關(中),鍬農炮蟲,蟲,電,270,背水之刃,HP 低於 50% 時，攻擊傷害 ×1.3,蟲咬,34,4,蟲,,,Mega能量×2；下回合+7能量,電擊,69,10,電,,,Mega能量×2；下回合+8能量,蟲鳴,66,9,蟲,,,Mega能量×2；下回合+7能量,撐住,輔助,5,蟲,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）
第2關(中),好勝毛蟹,格鬥,冰,270,鐵拳,攻擊傷害 ×1.3,撐住,輔助,5,格鬥,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,空手劈,72,9,格鬥,,,Mega能量×2；下回合+7能量,冰凍拳,70,9,冰,,,Mega能量×2；下回合+7能量,近身戰,117,14,格鬥,,,回血29%
第2關(中),水箭龜,水,,280,激流,HP 低於 1/3 時，本系招式傷害 ×1.5,水砲,10,0,水,,,Mega能量×2；下回合+4能量,影舞,輔助,2,水,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,衝浪,90,11,水,,,回血28%,冰凍光束,93,11,冰,,,回血29%
第2關(中),皮可西,妖精,,280,魔法防守,不會受到中毒／燒傷的傷害,拍打,15,1,一般,,,Mega能量×2；下回合+5能量,影舞,輔助,2,妖精,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,高周波音,97,11,一般,,,回血20%,月亮之力,97,12,妖精,中毒,30%,
第2關(中),袋獸,一般,,280,根性,自身帶有異常狀態時，攻擊傷害 ×1.3,扒,15,2,一般,,,Mega能量×2；下回合+6能量,連環巴掌,55,7,一般,,,Mega能量×2；下回合+5能量,撐住,輔助,5,一般,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,地震,96,12,地,睡眠,20%,
第2關(中),黑魯加,火,惡,280,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,夜斬,18,1,惡,,,Mega能量×2；下回合+5能量,火焰牙,55,7,火,燒傷,20%,Mega能量×2；下回合+5能量,惡意突刺,95,12,惡,,,回血26%,詭計,輔助,3,火,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）
第2關(中),烈咬陸鯊,龍,地,280,沙隱,25% 機率將受到的傷害減半,龍爪,13,1,龍,,,Mega能量×2；下回合+5能量,集氣,輔助,3,龍,,,輔助技能：下回合額外能量+9能量（另外+5能量）,地震,95,11,地,,,回血23%,龍之隕星,93,11,龍,中毒,30%,
第2關(中),龍王蠍,毒,惡,280,毒刺,受到攻擊後 20% 機率讓攻擊者中毒,毒針,13,0,毒,中毒,30%,Mega能量×2；下回合+4能量,夜斬,50,6,惡,,,Mega能量×2；下回合+4能量,撐住,輔助,5,毒,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,惡意突刺,90,11,惡,睡眠,20%,
第2關(中),暴雪王,草,冰,280,降雪,受到剋制（×2以上）的攻擊傷害再減少 25%,冰霜拳,11,1,冰,,,Mega能量×2；下回合+5能量,魔法葉,50,6,草,,,Mega能量×2；下回合+4能量,暴風雪,90,11,冰,中毒,30%,,劍舞,輔助,4,草,,,輔助技能：下次攻擊威力×1.5（另外+5能量）
第2關(中),雪妖女,冰,幽靈,280,雪隱,25% 機率將受到的傷害減半,冰凍光束,10,0,冰,結凍,15%,Mega能量×2；下回合+4能量,怒風,52,6,飛行,,,Mega能量×2；下回合+4能量,冰耳光,92,11,冰,睡眠,20%,,冥想,輔助,3,冰,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）
第2關(中),龐岩怪,岩石,,280,結實,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,閃光炮,11,1,鋼,,,Mega能量×2；下回合+5能量,冥想,輔助,3,岩石,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,地震,91,12,地,結凍,15%,,岩石炮,90,11,岩石,中毒,30%,
第2關(中),哥德小姐,超能,,280,神秘之守,25% 機率將受到的傷害減半,念力,18,1,超能,,,Mega能量×2；下回合+5能量,擾亂精神,輔助,1,超能,混亂,100%,輔助技能：使對方陷入異常狀態（另外+5能量）,精神強擊,94,11,超能,,,回血20%,未來預知,99,12,超能,結凍,15%,
第2關(中),噴火龍,火,飛行,290,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,火焰噴射,16,2,火,燒傷,25%,Mega能量×2；下回合+6能量,龍息,58,7,龍,,,Mega能量×2；下回合+5能量,火焰衝擊,95,12,火,麻痺,20%,,破空飛翔,100,12,飛行,結凍,15%,
第2關(中),拉普拉斯,水,冰,290,儲水,受到水屬性攻擊時完全免疫，並回復最大HP的1/4,衝浪,22,1,水,,,Mega能量×2；下回合+5能量,冷凍光線,55,7,冰,結凍,15%,Mega能量×2；下回合+5能量,雷電,102,12,電,,,回血21%,暴風雪,95,13,冰,,,回血17%
第2關(中),大鋼蛇,鋼,地,290,結實,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,綁緊,26,2,一般,,,Mega能量×2；下回合+6能量,鐵尾,63,8,鋼,,,Mega能量×2；下回合+6能量,地震,101,13,地,,,回血17%,重磅衝撞,106,13,鋼,,,回血20%
第2關(中),龍捲雲,飛行,,290,惡作劇之心,攻擊傷害固定 ×1.25,空氣斬,20,1,飛行,混亂,20%,Mega能量×2；下回合+5能量,雷電,56,8,電,麻痺,20%,Mega能量×2；下回合+6能量,颶風,98,12,飛行,,,回血22%,暴風,102,12,飛行,,,回血18%
第2關(中),狙射樹梟,草,幽靈,290,摘取,HP 低於 1/3 時，本系招式傷害 ×1.5,飛葉快刀,20,1,草,,,Mega能量×2；下回合+5能量,影子偷襲,60,8,幽靈,,,Mega能量×2；下回合+6能量,幽靈箭,103,12,幽靈,燒傷,25%,,光合作用強擊,98,13,草,,,回血25%
第2關(中),具甲武者,蟲,水,290,突襲,HP 低於 1/3 時，本系招式傷害 ×1.5,水流手裏劍,21,2,水,,,Mega能量×2；下回合+6能量,蟲咬,58,7,蟲,,,Mega能量×2；下回合+5能量,X 剪刀,98,13,蟲,,,回血17%,水炮,101,13,水,麻痺,20%,
第2關(中),電龍,電,,300,靜電,受到攻擊後 20% 機率讓攻擊者陷入麻痺,電擊,25,2,電,,,Mega能量×2；下回合+6能量,電光一閃,60,8,一般,,,Mega能量×2；下回合+6能量,十萬伏特,104,13,電,結凍,15%,,雷電,108,13,電,混亂,25%,
第2關(中),布魯皇,妖精,,300,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,仙女之力,31,3,妖精,,,Mega能量×2；下回合+6能量,雷電,64,8,電,麻痺,15%,Mega能量×2；下回合+6能量,咬碎,113,14,惡,睡眠,20%,,地震,108,13,地,混亂,25%,
第2關(中),班基拉斯,岩石,惡,300,揚沙,受到剋制（×2以上）的攻擊傷害再減少 25%,碎岩,38,5,岩石,麻痺,15%,Mega能量×2；下回合+8能量,咬碎,73,9,惡,混亂,20%,Mega能量×2；下回合+7能量,地震,115,15,地,,,回血21%,岩石炮,117,14,岩石,睡眠,20%,
第2關(中),巨沼怪,水,地,300,激流,HP 低於 1/3 時，本系招式傷害 ×1.5,水槍,29,3,水,,,Mega能量×2；下回合+6能量,泥巴射擊,62,8,地,,,Mega能量×2；下回合+6能量,地震,106,13,地,混亂,25%,,冰凍拳,105,13,冰,混亂,25%,
第2關(中),烏鴉頭頭,惡,飛行,300,不眠,不會陷入睡眠狀態,夜斬,31,3,惡,,,Mega能量×2；下回合+6能量,夜騷動,70,8,惡,,,Mega能量×2；下回合+6能量,空氣斬,115,14,飛行,,,回血22%,怒風,109,14,飛行,中毒,30%,
第2關(中),電擊魔獸,電,,300,電氣引擎,受到電屬性攻擊時完全免疫，並回復 3 點能量,電磁衝浪,26,3,電,麻痺,25%,Mega能量×2；下回合+6能量,動感拳,66,8,格鬥,,,Mega能量×2；下回合+6能量,十萬伏特,108,14,電,,,回血18%,冰凍拳,108,14,冰,中毒,30%,
第2關(中),鴨嘴炎獸,火,,300,火焰之軀,受到攻擊後 20% 機率讓攻擊者陷入燒傷,火焰衝擊,33,3,火,燒傷,25%,Mega能量×2；下回合+6能量,地震,68,9,地,,,Mega能量×2；下回合+7能量,噴射火焰,111,14,火,麻痺,20%,,雷電,113,14,電,中毒,30%,
第2關(中),炎武王,火,格鬥,300,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,火花,27,3,火,,,Mega能量×2；下回合+6能量,近身戰,62,7,格鬥,,,Mega能量×2；下回合+5能量,熔岩爆發,103,12,火,,,回血28%,超級power,106,13,格鬥,,,回血29%
第2關(中),龍頭地鼠,地,鋼,300,沙之力,HP 低於 1/3 時，本系招式傷害 ×1.5,金屬爪,37,4,鋼,,,Mega能量×2；下回合+7能量,泥巴射擊,72,9,地,,,Mega能量×2；下回合+7能量,地震,114,14,地,,,回血18%,鑽鑿,117,14,鋼,結凍,15%,
第2關(中),差不多娃娃,一般,,300,回復力,受到火／冰屬性攻擊傷害 ×0.6,拍打,28,2,一般,,,Mega能量×2；下回合+6能量,音爆拳,64,8,一般,,,Mega能量×2；下回合+6能量,高周波音,109,13,一般,,,回血28%,日光束,103,13,草,,,回血29%
第2關(中),布里卡隆,草,格鬥,300,茂盛,HP 低於 1/3 時，本系招式傷害 ×1.5,藤鞭,23,2,草,,,Mega能量×2；下回合+6能量,空手劈,63,8,格鬥,,,Mega能量×2；下回合+6能量,葉刃,104,12,草,,,回血19%,近身戰,104,13,格鬥,,,回血16%
第2關(中),仙子伊布,妖精,,300,迷人之軀,25% 機率將受到的傷害減半,妖精風,31,3,妖精,,,Mega能量×2；下回合+6能量,冰凍光束,65,9,冰,結凍,15%,Mega能量×2；下回合+7能量,月亮力量,111,13,妖精,中毒,30%,,暗影球,107,14,幽靈,結凍,15%,
第2關(中),熾焰咆哮虎,火,惡,300,猛火,HP 低於 1/3 時，本系招式傷害 ×1.5,火焰噴射,29,3,火,燒傷,25%,Mega能量×2；下回合+6能量,暗黑強打,65,9,惡,,,Mega能量×2；下回合+7能量,超強衝擊,105,13,格鬥,麻痺,20%,,赤焰衝擊,108,13,火,,,回血20%
第2關(中),老翁龍,一般,龍,300,崩潰,自身帶有異常狀態時，攻擊傷害 ×1.3,拍打,32,3,一般,,,Mega能量×2；下回合+6能量,龍之氣息,64,8,龍,,,Mega能量×2；下回合+6能量,高周波音,110,13,一般,混亂,25%,,龍之波動,106,13,龍,,,回血28%
第2關(中),堵攔熊,惡,一般,300,堅韌,自身帶有異常狀態時，攻擊傷害 ×1.3,夜斬,32,4,惡,,,Mega能量×2；下回合+7能量,連續切,68,8,一般,,,Mega能量×2；下回合+6能量,惡意突刺,111,14,惡,混亂,25%,,蠻力,112,14,一般,,,回血20%
第2關(中),波士可多拉,鋼,岩石,310,結實,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,金屬爪,37,5,鋼,,,Mega能量×2；下回合+8能量,岩石滑落,75,10,岩石,,,Mega能量×2；下回合+8能量,重磅衝撞,116,15,鋼,,,回血18%,劈斬,116,15,鋼,結凍,15%,
第2關(中),巨蔓藤,草,,310,適應力,本系加成（STAB）提升為 ×2（原本 ×1.5）,魔法葉,38,4,草,,,Mega能量×2；下回合+7能量,藤鞭,70,10,草,,,Mega能量×2；下回合+8能量,實力全開,119,15,一般,混亂,25%,,能量球,114,15,草,中毒,30%,
第2關(中),泥偶巨人,地,幽靈,310,硬岩,受到剋制（×2以上）的攻擊傷害再減少 25%,泥巴射擊,38,5,地,,,Mega能量×2；下回合+8能量,影子偷襲,75,10,幽靈,,,Mega能量×2；下回合+8能量,地震,120,15,地,,,回血22%,惡靈波動,116,15,幽靈,結凍,15%,
第2關(中),快龍,龍,飛行,320,多重鱗片,HP 全滿時，受到的攻擊傷害減半,龍息,52,6,龍,,,Mega能量×2；下回合+4能量,雷電,94,12,電,燒傷,25%,,怒風,96,12,飛行,麻痺,20%,,破壞光線,96,11,一般,中毒,30%,
第2關(中),超夢,超能,,320,壓迫感,上場時讓對方損失 3 點能量,念力衝擊,50,6,超能,混亂,30%,Mega能量×2；下回合+4能量,氣功拳,90,11,格鬥,,,回血19%,閃電拳,90,11,電,睡眠,20%,,暗影球,93,11,幽靈,中毒,30%,
第2關(中),凍原熊,冰,,320,雪隱,25% 機率將受到的傷害減半,冰耳光,58,7,冰,結凍,15%,Mega能量×2；下回合+5能量,大浪,96,12,水,中毒,30%,,暴風雪,96,11,冰,燒傷,25%,,地震,98,12,地,中毒,30%,
第2關(中),冰岩怪,冰,,320,頑強,HP 全滿時，受到會直接擊倒的攻擊會保留 1 HP,冰凍拳,55,6,冰,結凍,15%,Mega能量×2；下回合+4能量,碎岩,92,11,岩石,,,回血24%,暴風雪,96,11,冰,中毒,30%,,雪崩,92,11,冰,,,回血17%
第2關(中),卡比獸,一般,,380,厚脂肪,受到火／冰屬性攻擊傷害 ×0.6,磚塊,75,10,岩石,,,Mega能量×2；下回合+8能量,連踢,120,15,一般,,,回血25%,地震,119,15,地,結凍,15%,,破壞光線,120,15,一般,,,回血29%
第3關(強),蒂安希,岩石,妖精,300,恆淨之軀,受到剋制（×2以上）的攻擊傷害再減少 25%,岩石滑落,32,4,岩石,,,Mega能量×2；下回合+7能量,魔法閃耀,71,9,妖精,,,Mega能量×2；下回合+7能量,石刃,111,14,岩石,睡眠,20%,,月亮之力,112,14,妖精,,,回血21%
第3關(強),達克萊伊,惡,,310,惡夢,攻擊傷害 ×1.3,惡意彈珠,36,5,惡,,,Mega能量×2；下回合+8能量,暗影球,75,9,幽靈,,,Mega能量×2；下回合+7能量,黑暗脈動,119,14,惡,,,回血26%,暗黑爆破,120,14,惡,燒傷,25%,
第3關(強),瑪機雅娜,鋼,妖精,310,心之力,攻擊傷害固定 ×1.25,金屬爪,37,5,鋼,,,Mega能量×2；下回合+8能量,魔法閃耀,73,10,妖精,,,Mega能量×2；下回合+8能量,重磅衝撞,120,15,鋼,,,回血16%,月亮之力,120,15,妖精,,,回血18%
第3關(強),捷拉奧拉,電,,310,蓄電,受到電屬性攻擊時完全免疫，並回復 3 點能量,電擊,36,4,電,,,Mega能量×2；下回合+7能量,空手劈,74,10,格鬥,,,Mega能量×2；下回合+8能量,十萬伏特,118,15,電,結凍,15%,,近身戰,117,15,格鬥,,,回血24%
第3關(強),沙奈朵,超能,妖精,320,同步,陷入中毒／麻痺／燒傷時，會將該狀態傳染給攻擊者,妖精之力,53,6,妖精,,,Mega能量×2；下回合+4能量,暗影球,90,11,幽靈,,,回血26%,月亮力量,94,11,妖精,中毒,30%,,精神強擊,93,11,超能,,,回血24%
第3關(強),拉帝亞斯,龍,超能,320,飄浮,受到電屬性攻擊時完全免疫，並回復 3 點能量,念力,53,6,超能,,,Mega能量×2；下回合+4能量,龍之氣息,92,12,龍,睡眠,20%,,魔法閃耀,98,12,妖精,結凍,15%,,龍之波動,97,12,龍,燒傷,25%,
第3關(強),拉帝歐斯,龍,超能,320,飄浮,受到電屬性攻擊時完全免疫，並回復 3 點能量,龍息,50,6,龍,,,Mega能量×2；下回合+4能量,念力,93,11,超能,燒傷,25%,,龍爪,92,11,龍,,,回血23%,未來預知,91,11,超能,,,回血16%
第3關(強),席多藍恩,火,鋼,330,引火,受到火屬性攻擊時完全免疫，下次攻擊威力 +20,金屬爪,55,7,鋼,,,Mega能量×2；下回合+5能量,熔岩爆發,95,12,火,,,回血18%,大字爆炎,99,12,火,中毒,30%,,隕石衝擊,100,12,岩石,混亂,25%,
第3關(強),劈斬司令,惡,鋼,330,堅韌,自身帶有異常狀態時，攻擊傷害 ×1.3,金屬爪,55,7,鋼,,,Mega能量×2；下回合+5能量,夜斬,97,13,惡,,,回血16%,惡意突刺,95,12,惡,,,回血23%,鐵頭功,100,12,鋼,,,回血30%
第3關(強),哲爾尼亞斯,妖精,,330,妖精氣場,屬性加成（STAB）提升為 ×2（原本 ×1.5）,月亮力量,60,7,妖精,,,Mega能量×2；下回合+5能量,仙子之息,101,12,妖精,麻痺,20%,,光之波動,99,12,妖精,結凍,15%,,精神強擊,102,12,超能,,,回血15%
第3關(強),急凍鳥,冰,飛行,340,壓迫感,上場時讓對方損失 3 點能量,暴風雪,66,8,冰,結凍,25%,Mega能量×2；下回合+6能量,冷凍光線,105,13,冰,睡眠,20%,,暴風,108,13,飛行,,,回血22%,怒風,109,14,飛行,,,回血25%
第3關(強),閃電鳥,電,飛行,340,壓迫感,上場時讓對方損失 3 點能量,雷霆,57,8,電,麻痺,30%,Mega能量×2；下回合+6能量,電磁衝浪,105,13,電,睡眠,20%,,雷電,99,13,電,,,回血25%,怒風,105,12,飛行,麻痺,20%,
第3關(強),火焰鳥,火,飛行,340,壓迫感,上場時讓對方損失 3 點能量,火焰衝擊,66,8,火,燒傷,30%,Mega能量×2；下回合+6能量,超能力,103,13,超能,,,回血16%,噴射火焰,106,13,火,麻痺,20%,,怒風,105,13,飛行,,,回血28%
第3關(強),洛奇亞,超能,飛行,340,壓迫感,上場時讓對方損失 3 點能量,怒風,62,8,飛行,,,Mega能量×2；下回合+6能量,冰凍光束,107,13,冰,混亂,25%,,暴風,107,13,飛行,睡眠,20%,,心靈衝擊,104,13,超能,結凍,15%,
第3關(強),鳳王,火,飛行,340,壓迫感,上場時讓對方損失 3 點能量,聖焰,63,8,火,燒傷,30%,Mega能量×2；下回合+6能量,怒風,104,13,飛行,麻痺,20%,,超能力,108,13,超能,,,回血27%,神聖之焰,102,13,飛行,,,回血20%
第3關(強),暴飛龍,龍,飛行,340,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,咬碎,65,8,惡,,,Mega能量×2；下回合+6能量,龍息,108,13,龍,,,回血27%,逆鱗,105,13,龍,結凍,15%,,暴風,105,13,飛行,混亂,25%,
第3關(強),蓋歐卡,水,,340,降雨,屬性加成（STAB）提升為 ×2（原本 ×1.5）,源起之波,56,7,水,,,Mega能量×2；下回合+5能量,雷電,101,12,電,燒傷,25%,,大浪,98,12,水,,,回血16%,原始海洋,97,13,冰,,,回血21%
第3關(強),固拉多,地,,340,日照,攻擊傷害固定 ×1.25,地震,58,8,地,,,Mega能量×2；下回合+6能量,岩石碎裂,101,13,岩石,,,回血22%,火焰噴射,102,13,火,混亂,25%,,原始大地,105,13,火,,,回血26%
第3關(強),戟脊龍,龍,冰,340,熱交換,自身帶有異常狀態時，攻擊傷害 ×1.3,冰霜拳,59,8,冰,,,Mega能量×2；下回合+6能量,龍息,100,13,龍,混亂,25%,,冰凍光束,103,12,冰,,,回血23%,逆鱗,99,12,龍,,,回血17%
第3關(強),象牙豬,冰,地,350,厚脂肪,受到火／冰屬性攻擊傷害 ×0.6,冰凍拳,66,8,冰,結凍,15%,Mega能量×2；下回合+6能量,地震,109,14,地,,,回血28%,雪崩,109,14,冰,,,回血25%,冰牙,108,14,冰,中毒,30%,
第3關(強),伊裴爾塔爾,惡,飛行,350,暗黑氣場,屬性加成（STAB）提升為 ×2（原本 ×1.5）,惡之波動,68,9,惡,混亂,20%,Mega能量×2；下回合+7能量,朽滅之歌,112,14,飛行,,,回血16%,空氣斬,108,14,飛行,結凍,15%,,夜騷動,112,14,惡,,,回血26%
第3關(強),烈空坐,龍,飛行,360,氣閘,攻擊傷害固定 ×1.25,神速,69,9,一般,,,Mega能量×2；下回合+7能量,火焰噴射,109,14,火,結凍,15%,,怒風,108,14,飛行,中毒,30%,,龍之隕星,109,14,龍,燒傷,25%,
第3關(強),超甲狂犀,地,岩石,360,硬岩,受到剋制（×2以上）的攻擊傷害再減少 25%,角撞,70,10,一般,,,Mega能量×2；下回合+8能量,泥巴射擊,116,14,地,,,回血18%,岩崩,116,14,岩石,混亂,25%,,地震,111,14,地,中毒,30%,
第3關(強),帝牙盧卡,鋼,龍,360,壓迫感,上場時讓對方損失 3 點能量,閃光炮,71,9,鋼,,,Mega能量×2；下回合+7能量,鋼鐵翼,115,14,鋼,,,回血19%,龍爪,114,14,龍,,,回血21%,時間咆哮,115,14,龍,,,回血20%
第3關(強),帕路奇亞,水,龍,360,壓迫感,上場時讓對方損失 3 點能量,衝浪,71,9,水,,,Mega能量×2；下回合+7能量,龍之脈動,113,14,龍,麻痺,20%,,水之脈動,112,14,水,,,回血25%,空間扭曲,117,14,龍,,,回血15%
第3關(強),基格爾德,龍,地,360,終結之地,受到剋制（×2以上）的攻擊傷害再減少 25%,咬碎,74,10,惡,,,Mega能量×2；下回合+8能量,泥巴射擊,119,15,地,燒傷,25%,,地震,116,15,地,麻痺,20%,,龍爪,114,14,龍,,,回血21%
第3關(強),故勒頓,格鬥,龍,360,緋紅脈動,HP 低於 1/3 時，本系招式傷害 ×1.5,決勝衝擊,69,9,格鬥,,,Mega能量×2；下回合+7能量,火焰噴射,113,14,火,燒傷,25%,,地震,113,14,地,睡眠,20%,,遠古之力,116,14,岩石,,,回血30%
第3關(強),密勒頓,電,龍,360,強子引擎,HP 低於 1/3 時，本系招式傷害 ×1.5,電磁衝浪,73,9,電,麻痺,25%,Mega能量×2；下回合+7能量,龍息,118,14,龍,,,回血17%,電磁炮,118,14,電,中毒,30%,,未來雷霆,115,15,超能,,,回血23%
第3關(強),雷吉艾斯,冰,,370,厚脂肪,受到火／冰屬性攻擊傷害 ×0.6,暴風雪,74,10,冰,結凍,20%,Mega能量×2；下回合+8能量,閃光炮,119,15,鋼,麻痺,20%,,冰耳光,118,14,冰,混亂,25%,,電磁砲,115,15,電,燒傷,25%,
第3關(強),蒼響,妖精,鋼,370,不撓之劍,攻擊傷害固定 ×1.25,鐵頭功,75,10,鋼,,,Mega能量×2；下回合+8能量,剛劍,120,15,鋼,,,回血19%,接近戰,120,15,格鬥,,,回血21%,神秘劍,120,14,妖精,,,回血18%
